"IRM_STATE_OFFICE","IRM_DEPOT_NAME","IRM_CONSUMER_NAME","IRM_ERP_CONSUMER_CODE","IRM_LATITUDE","IRM_LONGITUDE","IRM_ROUTE_STATUS","IRM_ROUTE_VERIFIED_BY","IRM_ROUTE_VERIFIED_AT","IRM_ROUTE_DISTANCE","IRM_ROUTE_ID","IRM_IS_NEW","IRM_CREATED_AT","IRM_CREATED_BY","IRM_UPDATED_AT","IRM_UPDATED_BY","IRM_ISACTIVE","IRM_CUSTOMER_ID","IRM_GROUP_NO","IRM_IS_REJECTED"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending","E_GAIN","29-Sep-2015",,20830,0,"2015-09-29 11:27:54",,"2015-09-29 11:27:55","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602194,0,"2015-10-01 11:54:59","6","2015-09-29 11:27:55","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602175,0,"2015-09-29 16:18:43","6","2015-09-29 11:27:55","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602161,0,"2015-09-29 12:00:06","6","2015-09-29 11:27:55","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602162,0,"2015-09-29 12:00:21","6","2015-09-29 11:27:55","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602160,0,"2015-09-29 12:00:01","6","2015-09-29 11:27:55","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602159,0,"2015-09-29 11:27:30","6","2015-09-29 11:21:31","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending",,,,602158,0,"2015-09-29 11:26:29","6","2015-09-29 11:21:31","10044",1,1,17632,"N"
"Karnataka (SR)","Hassan Top","SAHYADRI SERVICE STATION","0000117810",13.935398,75.574741,"Pending","Emdo Gain","29-SEP-15",,602157,0,"2015-09-29 11:23:10","6","2015-09-29 11:25:46","10044",0,1,17632,"N"
