"IRD_ID","IRD_VEH_ID","IRD_TRIP_ID","IRD_DEV_START_AT","IRD_DEV_END_AT","IRD_DEV_START_LOC","IRD_DEV_START_CITY","IRD_DEV_START_DIS","IRD_DEV_START_STATE","IRD_DEV_END_LOC","IRD_DEV_END_CITY","IRD_DEV_END_DIS","IRD_DEV_END_STATE","IRD_DEV_DUR_IN_MINS","IRD_DEV_CREATED_AT","IRD_DEV_CREATED_BY","IRD_DEV_UPDATED_AT","IRD_DEV_UPDATED_BY","IRD_DEV_MSG","IRD_IS_DONE","IS_CHECKED"
160822,"4895","0682068124","2015-10-09 12:14:56","2015-10-09 12:22:35","0.04 Km.  SW From I T I Limited Registrated & Corporate Office , Shanthala Nagar",", Shanthala Nagar;","  Shanthala Nagar;Banglore,Banglore","Karnataka","0.03 Km.  SE From Centurion , Shanthala Nagar",", Shanthala Nagar;","  Shanthala Nagar;Banglore,Banglore","Karnataka",7,"2015-10-09 12:58:52","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160821,"2236","0682068095","2015-10-09 09:36:00","2015-10-09 09:49:10","0.46 Km. S From Police Station Baholi","Gharaunda"," Panipat","Haryana","0.25 Km. SE From Canal Ballah","Gharaunda"," Panipat","Haryana",13,"2015-10-09 12:57:52","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160820,"2236","0682068095","2015-10-09 09:36:00","2015-10-09 09:49:10","0.46 Km. S From Police Station Baholi","Gharaunda"," Panipat","Haryana","0.25 Km. SE From Canal Ballah","Gharaunda"," Panipat","Haryana",13,"2015-10-09 12:57:28","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160819,"419","0682065991","2015-10-09 09:48:42","2015-10-09 09:54:12","0.77 Km. SE From FOREST CLUB PVT LTD","Chauri Chaura","Gorakhpur","Uttar Pradesh","0.99 Km. SW From VINDHYAWASINI AUTOMOBILES","Gorakhpur","Gorakhpur","Uttar Pradesh",5,"2015-10-09 12:54:20","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160818,"6152","0682068343","2015-10-09 09:52:14","2015-10-09 09:59:11","0.01 Km. W From KULLU DEPOT","Kullu"," Kullu","Himachal Pradesh","0.02 Km. NE From KULLU DEPOT","Kullu"," Kullu","Himachal Pradesh",6,"2015-10-09 12:50:24","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160817,"6093","0682068328","2015-10-09 11:29:50","2015-10-09 12:21:59","1.14 Km. W From SRI NANDI KISAN SEVA KENDRA","Hosakote"," Bangalore (Rural)","Karnataka","0.02 Km.  W From Government Pre University , Yelahanka",", Yelahanka;","  Yelahanka;Banglore,Banglore","Karnataka",52,"2015-10-09 12:49:44","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160816,"6391","0682068309","2015-10-09 09:32:20","2015-10-09 09:37:20","0.11 Km. E From ROORKEE TOP","Roorkee"," Haridwar","Uttaranchal","0.09 Km. NE From ROORKEE TOP","Roorkee"," Haridwar","Uttaranchal",5,"2015-10-09 12:47:05","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160815,"1444","0682068013","2015-10-09 10:04:05","2015-10-09 10:10:44","0.23 Km. NW From DELHI TERMINAL","Delhi"," Delhi","Delhi","0.02 Km. N From DELHI TERMINAL","Delhi"," Delhi","Delhi",6,"2015-10-09 12:44:31","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160814,"1763202","0682067702","2015-10-09 11:44:57","2015-10-09 11:50:31","2.77 Km. SW From Village Sakra","Fatehpur Pundri"," Kaithal","Haryana","0.32 Km. E From Village Sakra","Fatehpur Pundri"," Kaithal","Haryana",5,"2015-10-09 12:42:27","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160813,"1763202","0682067702","2015-10-09 09:14:07","2015-10-09 09:27:19","0.07 Km. E From PANIPAT TOP","Gharaunda"," Panipat","Haryana","0.10 Km. W From PANIPAT TOP","Gharaunda"," Panipat","Haryana",13,"2015-10-09 12:42:23","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
