CAVL_SERV_PROVIDER|TRIP NO|Carrier No|TYPE OF CLOSURE|CLOSURE LOCATION|CLOSURE DATE & TIME|TOTAL TRIP DISTANCE|TOTAL DELIVERY TIME|TOTAL STOPPAGE TIME|STOPPAGE AT TOLLS|STOPPAGE AT SATE BORDER|STOPPAGE AT DEALER|Harsh Braking instances|Over speeding Instances|Night Driving Instances (2:00 AM to 5:00 AM)|DAY0|DAY1|DAY2|DAY3|DAY4|DAY5|DAY6|DAY7|DAY8|DAY9|DAY10|DAY11|DAY12|DAY13|DAY14|DAY15|DAY16|DAY17|DAY18|DAY19|DAY20
EFKON|4591657|HR55E0169|A|SKCARS-SALEM|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591660|HR55E0169|A|SKCARS-SALEM|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591656|HR55E0169|A|KVR AUTOCARS-PERINTHALMANA|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591661|HR55E0169|A|SKCARS-SALEM|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591659|HR55E0169|A|SKCARS-SALEM|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591658|HR55E0169|A|SKCARS-SALEM|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591655|HR55E0169|A|KVR AUTOCARS-PERINTHALMANA|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591653|HR55E0169|A|ABT-TRICHY|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4591654|HR55E0169|A|ABT-TRICHY|17-Aug-2015 15:22|2154|162:48:45|99:40:23|0:29:37|2:14:55||1|1|1|0|5|505|377|277|382|310|299|||||||||||||
EFKON|4600517|HR55E5668|A|MANESAR PLANT|17-Aug-2015 04:48|14|0:54:24|0:10:0||||0|0|0|14||||||||||||||||||||
EFKON|4593183|HR55E6315|A|SK WHEELS-RAIGAD|17-Aug-2015 07:14|1480|132:30:43|89:41:35|0:12:42|3:25:6||0|0|3|20|41|0|28|614|622|155||||||||||||||
EFKON|4593183|HR55E6315|A|SK WHEELS-RAIGAD|17-Aug-2015 06:21|1460|131:37:55|89:33:47|0:12:42|3:25:6||0|0|3|20|41|0|28|614|622|135||||||||||||||
EFKON|4593183|HR55E6315|A|SK WHEELS-MUMBAI|17-Aug-2015 07:04|1475|132:20:44|89:41:35|0:12:42|3:25:6||0|0|3|20|41|0|28|614|622|150||||||||||||||
EFKON|4593414|HR55E6321|A|SEVA AUTOMOTIVE-DHULE|17-Aug-2015 13:09|1200|137:32:13|102:6:19|0:1:41|0:20:52||0|3|0|31|56|44|358|238|353|120||||||||||||||
EFKON|4595724|HR55F0130|P|RUDRARAM|17-Aug-2015 19:50|||67:15:7|0:34:43|0:58:59||1|10|1|0|518|624|415|310||||||||||||||||
EFKON|4595724|HR55F0130|P|RUDRARAM|17-Aug-2015 19:43|||67:15:1|0:34:43|0:58:59||1|10|1|0|518|624|415|306||||||||||||||||
EFKON|4591454|HR55F0131|A|JAYALAKSHMI AUTOMOBILES-ONGOLE|17-Aug-2015 07:15|2267|155:17:4|90:10:36|1:0:37|1:39:10||0|2|0|31|296|421|437|384|272|416|10|||||||||||||
EFKON|4591331|HR55F0131|A|JAYALAKSHMI AUTOMOBILES-ONGOLE|17-Aug-2015 07:15|2267|156:3:3|92:58:18|1:0:37|1:39:10||0|2|0|31|296|421|437|384|272|416|10|||||||||||||
EFKON|4597710|HR55F2125|A|POPULAR WHEELERS-AHMEDABAD|17-Aug-2015 17:15|910|88:43:52|63:6:6|0:7:59|20:44:20||4|0|1|8|356|418|128|||||||||||||||||
EFKON|4597710|HR55F2125|A|POPULAR WHEELERS-AHMEDABAD|17-Aug-2015 15:20|835|86:48:42|63:4:39|0:7:59|20:44:20||4|0|1|8|356|418|54|||||||||||||||||
EFKON|4597710|HR55F2125|A|POPULAR WHEELERS-AHMEDABAD|17-Aug-2015 17:15|910|88:43:52|63:6:6|0:7:59|20:44:20||4|0|1|8|356|418|128|||||||||||||||||
EFKON|4591113|HR55F2956|P|KAMERI|17-Aug-2015 09:13|||111:55:49|2:38:53|1:14:56||5|3|0|10|49|7|396|389|393|315|114|||||||||||||
EFKON|4590301|HR55F8050|A|FRIENDLY MOTORS-MYSORE|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590302|HR55F8050|A|AADHI CARS-COIMBATORE|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590303|HR55F8050|A|R N S MOTORS-BANGALORE|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590299|HR55F8050|A|POPULAR VEHICLES  AND  SERVICES-CHENNAI|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590306|HR55F8050|A|GANESH CARS-VELLORE|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590307|HR55F8050|A|SAKETH AUTOMOBILES-TUMKUR|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590300|HR55F8050|A|KHIVRAJ MOTORS-CHENNAI|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4590304|HR55F8050|A|SHRUTI MOTORS-SHIMOGA|17-Aug-2015 10:56|2230|185:5:7|126:43:55|1:36:34|0:22:43||0|4|0|32|202|88|334|387|176|394|429|189||||||||||||
EFKON|4600665|HR55G1768|A|MANESAR PLANT|17-Aug-2015 14:08|19|0:41:45|0:10:0|0:5:0|||0|0|0|19||||||||||||||||||||
EFKON|4600124|HR55G2126|P|TARA AUTOMOBILES-TALWANDI SABO|17-Aug-2015 14:43|||10:22:57|0:16:18|0:30:11||1|5|1|18|525|||||||||||||||||||
EFKON|4600124|HR55G2126|A|LMJ SERVICES-PALI|17-Aug-2015 18:55|584|27:16:53|13:30:33|0:16:18|0:30:11||1|5|1|18|565|||||||||||||||||||
EFKON|1116903|HR55G5510|A|PILLAI  AND  SONS MOTOR-THANJAVUR|17-Aug-2015 06:49|456|52:25:22|41:11:9||||0|15|1|11|309|136||||||||||||||||||
EFKON|4593227|HR55H2064|A|SK WHEELS-MUMBAI|17-Aug-2015 05:42|1434|130:45:25|89:46:27|0:31:45|1:29:34||0|4|0|8|180|341|170|372|358|6||||||||||||||
EFKON|1116694|HR55H4388|A|POPULAR VEHICLES AND SERVICES-CALICUT|17-Aug-2015 01:32|680|90:49:20|76:9:43||||0|11|1|8|313|84|184|92||||||||||||||||
EFKON|4576044|HR55H4865|M|APRA AUTO-MANESAR|17-Aug-2015 00:00|||126:15:0||||0|0|0|24|16|0|734|734|60|12|0|||||||||||||
EFKON|4576045|HR55H4865|M|APRA AUTO-MANESAR|17-Aug-2015 00:00|||126:15:0||||0|0|0|24|16|0|734|734|60|12|0|||||||||||||
