Service Provider|Creation Date|VEHICLE NO|TRANSPORTER CODE|PLANT NAME|TIME IN|TIME OUT|TITO
EFKON|18-Aug-2015 14:42|NL01L9203|T266|GURGAON|17-Aug-2015 13:29|17-Aug-2015 14:21|0:52:6
EFKON|18-Aug-2015 14:47|NL01L9204|T266|MANESAR|17-Aug-2015 19:26|17-Aug-2015 19:54|0:28:12
EFKON|18-Aug-2015 14:35|NL01L9206|T266|MANESAR|17-Aug-2015 20:55|17-Aug-2015 22:19|1:24:15
EFKON|18-Aug-2015 14:35|NL01L9206|T266|GURGAON|17-Aug-2015 23:17|18-Aug-2015 00:07|0:49:31
EFKON|18-Aug-2015 14:36|NL01L9208|T266|MANESAR|17-Aug-2015 15:48|17-Aug-2015 17:09|1:21:25
EFKON|18-Aug-2015 14:36|NL01L9208|T266|GURGAON|17-Aug-2015 23:11|18-Aug-2015 00:23|1:11:26
EFKON|18-Aug-2015 14:44|NL01L9209|T266|MANESAR|18-Aug-2015 02:04|18-Aug-2015 05:05|3:0:42
EFKON|18-Aug-2015 14:44|NL01L9210|T266|MANESAR|17-Aug-2015 16:01|17-Aug-2015 17:07|1:6:34
EFKON|18-Aug-2015 14:53|NL01L9211|T266|GURGAON|17-Aug-2015 14:57|17-Aug-2015 15:37|0:40:12
EFKON|18-Aug-2015 14:33|NL01L9212|T266|MANESAR|18-Aug-2015 01:55|18-Aug-2015 04:01|2:6:33
EFKON|18-Aug-2015 14:40|NL01N9201|T266|MANESAR|17-Aug-2015 20:45|17-Aug-2015 21:44|0:58:19
EFKON|18-Aug-2015 14:40|HR55L4683|T248|GURGAON|18-Aug-2015 04:04|18-Aug-2015 06:05|2:1:14
EFKON|18-Aug-2015 14:54|HR47A3620|T234|MANESAR|17-Aug-2015 19:36|17-Aug-2015 21:34|1:58:9
EFKON|18-Aug-2015 14:47|HR55J9962|T234|MANESAR|17-Aug-2015 23:45|18-Aug-2015 01:37|1:52:1
EFKON|18-Aug-2015 14:47|HR55L5756|T234|MANESAR|17-Aug-2015 21:06|17-Aug-2015 23:02|1:55:13
EFKON|18-Aug-2015 14:52|HR55M8169|T234|GURGAON|17-Aug-2015 22:20|17-Aug-2015 23:55|1:34:14
EFKON|18-Aug-2015 14:36|HR55Q3010|T234|GURGAON|18-Aug-2015 01:17|18-Aug-2015 02:48|1:31:41
EFKON|18-Aug-2015 14:37|HR55Q3011|T234|GURGAON|17-Aug-2015 22:42|18-Aug-2015 00:19|1:37:0
EFKON|18-Aug-2015 14:52|HR55R5475|T234|MANESAR|17-Aug-2015 23:49|18-Aug-2015 01:52|2:3:46
EFKON|18-Aug-2015 14:38|HR748460|T254|GURGAON|18-Aug-2015 00:40|18-Aug-2015 05:55|5:15:12
EFKON|18-Aug-2015 14:46|KA01AA6852|T267|MANESAR|17-Aug-2015 14:10|17-Aug-2015 16:12|2:2:29
EFKON|18-Aug-2015 14:33|KA41A0893|T267|MANESAR|17-Aug-2015 23:27|18-Aug-2015 02:25|2:58:33
EFKON|18-Aug-2015 14:46|KA41A1263|T267|MANESAR|17-Aug-2015 21:46|18-Aug-2015 01:31|3:45:29
EFKON|18-Aug-2015 14:54|KA41A1724|T267|MANESAR|17-Aug-2015 23:04|18-Aug-2015 02:14|3:10:0
EFKON|18-Aug-2015 14:54|KA41A1811|T267|MANESAR|17-Aug-2015 11:21|17-Aug-2015 14:33|3:12:15
EFKON|18-Aug-2015 14:54|KA41A2395|T267|GURGAON|18-Aug-2015 01:42|18-Aug-2015 03:19|1:37:23
EFKON|18-Aug-2015 14:50|KA41A2402|T267|MANESAR|17-Aug-2015 11:21|17-Aug-2015 15:43|4:21:51
EFKON|18-Aug-2015 14:42|HR55M9448|T256|MANESAR|17-Aug-2015 22:37|17-Aug-2015 23:53|1:15:37
EFKON|18-Aug-2015 14:53|HR55N3005|T235|MANESAR|18-Aug-2015 00:34|18-Aug-2015 02:22|1:47:39
