S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-AUG'-15,02-AUG'-15,03-AUG'-15,04-AUG'-15,05-AUG'-15,06-AUG'-15,07-AUG'-15,08-AUG'-15,09-AUG'-15,10-AUG'-15,11-AUG'-15,12-AUG'-15,13-AUG'-15,14-AUG'-15,15-AUG'-15,16-AUG'-15,17-AUG'-15,18-AUG'-15,19-AUG'-15,20-AUG'-15,21-AUG'-15,22-AUG'-15,23-AUG'-15,24-AUG'-15,25-AUG'-15,26-AUG'-15,27-AUG'-15,28-AUG'-15,29-AUG'-15,30-AUG'-15,31-AUG'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
2438,QCQ1204021,8879678764,OL001/02568,15-May-12,NL02G7583,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2439,QCQ1102263,8879613631,OL001/02569,15-May-12,HR55J5606,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2440,QCQ1102514,8879613885,OL001/02570,15-May-12,HR55K3749,Chetak International Private Limited,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
2441,QCQ1305717,9444448027,OL001/02571,15-May-12,NL02G0950,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2442,QCQ1100619,8879787658,OL001/02572,15-May-12,HR55L5749,DELHIGUJARATFLEETCARRIER,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2443,QCQ1101546,8879612903,OL001/02573,15-May-12,HR55N3766,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2444,QCQ1204433,8879690434,OL001/02574,15-May-12,NL02G3216,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,P,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,1,0,0,0,0,YES,
2445,QCQ1101572,8879690410,OL001/02575,15-May-12,HR55P2124,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2446,QCQ1203634,8879678273,OL001/02576,15-May-12,MH04EY8516,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2447,QCQ1101536,8879612892,OL001/02577,15-May-12,HR55M7627,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2448,QCQ1103048,8879614426,OL001/02578,15-May-12,HR55M7599,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2449,QCQ1100517,8879442404,OL001/02579,15-May-12,HR55K0643,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2450,QCQ1101159,8879612510,OL001/02580,15-May-12,HR55J6811,MERCURIOPALLIALOGISTICSPVTLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
2451,QCQ1100164,8879460217,OL001/02581,15-May-12,HR55N8461,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2452,QCQ1305949,1130293457,OL001/02582,15-May-12,HR55N0644,PRADEEPBANDHU,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2453,QCQ1100847,8879677849,OL001/02583,15-May-12,HR55J5142,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2454,QCQ1100486,8879442372,OL001/02584,15-May-12,HR55Q4053,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2455,QCQ1101188,8879612539,OL001/02585,15-May-12,KA01AA0749,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2456,QCQ1203776,8879678417,OL001/02586,16-May-12,OR04F7561,BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
2457,QCQ1102395,8879613764,OL001/02587,16-May-12,RJ27GA7996,PRADEEPBANDHU,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,7,24,0,0,0,0,YES,
2458,QCQ1101400,8879612754,OL001/02588,16-May-12,HR55J5701,Chetak International Private Limited,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2,29,0,0,0,0,YES,
2459,QCQ1106224,9444448025,OL001/02589,16-May-12,KA41A2606,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2460,QCQ1204651,8879697415,OL001/02590,16-May-12,KA41A2177,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2461,QCQ1205389,0,OL001/02591,16-May-12,HR55H3962,PRADEEPBANDHU,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2462,QCQ1102481,8879613852,OL001/02592,16-May-12,RJ09GA5990,K M TRANS LOGISTICS PVT. LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2463,QCQ1101261,8879612614,OL001/02593,16-May-12,MH04EL3076,AXISCARRIERSANDLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2464,QCQ1204614,8879676780,OL001/02594,16-May-12,HR55J4861,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2465,QCQ1204860,8879697494,OL001/02595,16-May-12,NL01D3481,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2466,QCQ1101519,8879612875,OL001/02596,16-May-12,HR55J5144,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2467,QCQ1204369,8879690369,OL001/02597,16-May-12,HR55N1041,PRADEEPBANDHU,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2468,QCQ1203698,8879678338,OL001/02598,16-May-12,HR55M6334,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2469,QCQ1100369,8879442248,OL001/02599,16-May-12,KA424871,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
