S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-AUG'-15,02-AUG'-15,03-AUG'-15,04-AUG'-15,05-AUG'-15,06-AUG'-15,07-AUG'-15,08-AUG'-15,09-AUG'-15,10-AUG'-15,11-AUG'-15,12-AUG'-15,13-AUG'-15,14-AUG'-15,15-AUG'-15,16-AUG'-15,17-AUG'-15,18-AUG'-15,19-AUG'-15,20-AUG'-15,21-AUG'-15,22-AUG'-15,23-AUG'-15,24-AUG'-15,25-AUG'-15,26-AUG'-15,27-AUG'-15,28-AUG'-15,29-AUG'-15,30-AUG'-15,31-AUG'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
2504,EEB1500216,7506928435,OL001/02638,17-May-12,RJ14GD4209,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2505,QCQ1100574,8879442462,OL001/02639,17-May-12,MH15BJ4217,MERCURIOPALLIALOGISTICSPVTLTD,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,26,0,0,5,0,5,YES,
2506,QCQ1100521,8879442408,OL001/02640,17-May-12,KA41A2604,VRLLOGISTICSLTD.,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2507,QCQ1305959,8879676930,OL001/02641,17-May-12,NL01K3922,JAINEXPARIVAHAN,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2508,QCQ1103021,8879614398,OL001/02642,17-May-12,HR55F4962,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2509,QCQ1101367,8879612721,OL001/02643,17-May-12,HR55J2692,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2510,QCQ1102998,,OL001/02644,17-May-12,NL02K2209,OSLLOGISTICSPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2511,QCQ1305902,8879678263,OL001/02645,17-May-12,HR55M1109,PRADEEPBANDHU,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2512,QCQ1103382,8879678019,OL001/02646,17-May-12,MH15BJ4218,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2513,QCQ1102091,8879613455,OL001/02647,17-May-12,HR55Q4050,MERCURIOPALLIALOGISTICSPVTLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2514,QCQ1101345,8879612698,OL001/02648,17-May-12,HR55B4326,MERCURIOPALLIALOGISTICSPVTLTD,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,0,0,31,0,0,0,YES,
2515,QCQ1102717,8879614090,OL001/02649,17-May-12,HR55J4083,KATARIALOGITRANS,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2516,QCQ1203962,8879678705,OL001/02650,18-May-12,HR55K3743,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2517,QCQ1204031,8879678774,OL001/02651,18-May-12,HR55J5737,Chetak International Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
